EU-001;SV5;Dodecanese (Dodekanisos)
AF-049;3B8;Mauritius Island
AF-050;5T;Dakhlet Nouadhibou/Inchiri Region group
AF-051;3X;Guinee-Maritime Province South group
AF-052;T5;Indian Ocean Coast South group
AF-053;J2;Gulf Of Tadjoura group
AF-054;5H;Mafia Island
AF-055; ;Deleted
AF-056;9L;Southern Province group
AF-057;5R;Madagascar's Coastal Islands West
AF-058;VQ9;Salomon group
AF-059;J2;Strait of Mandab group
AF-060;C5;The Gambia group
AF-061;C9;Cabo Delgado District group
AF-062;ST;Suakin Archipelago
AF-063;5H;Pemba Island
AF-064;ZS;Western Cape Province South West group
AF-065;CN;Safi/Essaouira/Agadir Region group
AF-066;C9;Gaza/Maputo District group
AF-067;5Z;Coast Province South group
AF-068;S0 (CN);Western Sahara South group
AF-069;EA9;Alhucemas Island
AF-070;V5;Karas Region group
AF-071;various;Geyser Bank - to be deleted in 2005
AF-072;C9;Inhambane District group
AF-073;3V;Sfax Region group
AF-074;5H;Lindi/Mtwara Region group
AF-075;5H;Dar Es Salaam/Pwani Region group
AF-076;5N;Bayelsa/Rivers/Akwa Ibom etc States group
AF-077;ZS;Western Cape Province South group
AF-078;6W;Senegal South group
AF-079;ZS;Eastern Cape Province group
AF-080;E3;Red Sea Coast North group
AF-081;E3;Red Sea Coast South group
AF-082;3C;Rio Muni Province group
AF-083;3V;Gabes/Medenine Region group
AF-084;9G;Ghana group
AF-085;ZS;Western Cape Province North West group
AF-086;D4;Windward Islands
AF-087;5H;Tanga Region group
AF-088;C9;Nampula District group
AF-089;TR;Ogooue Maritime Province group
AF-090;5R;Madagascar's Coastal Islands East
AF-091;3V;Jendouba/Bizerte/Tunis/Nabeul Region group
AF-092;3V;Sousse / Monastir / Mahdia Region group (Tunisia)
AF-093;J5;Guinea-Bissau Coastal Region (Guinea-Bissau)
AN-001;Various Callsigns;Graham Land West (Adelaide Island) group
AN-002;3Y;Bouvet Island
AN-003;VK0;Heard Island
AN-004;3Y;Peter 1 Island
AN-005;VK0;Macquarie Island
AN-006;Various Callsigns;Graham Land West (Biscoe Islands) group
AN-007;VP8;South Georgia Island
AN-008;Various Callsigns;South Orkney Islands
AN-009;VP8;South Sandwich Islands
AN-010;Various Callsigns;South Shetland Islands
AN-011;Various Callsigns;Ross Island group
AN-012;Various Callsigns;Graham Land West (Palmer Archipelago) grp
AN-013;Various Callsigns;Trinity Peninsula group
AN-014;Various Callsigns;Berkner Island
AN-015;Various Callsigns;Queen Maud Land (Prince Harald etc) group
AN-016;Various Callsigns;Antarctica (Main Island Only)
AN-017;Various Callsigns;Adelie Land group
AN-018;Various Callsigns;Palmer Land West (Alexander Island) group
AS-001;VU;Andaman Islands
AS-002;A9;Bahrain Island
AS-003;4S;Sri Lanka Island (Main Island Only)
AS-004;5B,ZC;Cyprus Island (Main Island Only)
AS-005;R0B;Kara Sea Coast West group
AS-006;VR2;Hong Kong group
AS-007;JA1 etc;Honshu Island (Main Island Only)
AS-008;JA1;North Izu Islands
AS-009;7O;Red Sea Coast group
AS-010;A4;Zufar Region group
AS-011;VU;Laccadive Islands
AS-012;JA6;Kyushu's Coastal Islands
AS-013;8Q;Maldive Islands
AS-014;A4;Ash Sharqiyah/Al Wusta Region group
AS-015;9M2;Pinang State group
AS-016;7O;Gulf Of Aden West group
AS-017;JA6;Okinawa Islands
AS-018;R0F;Sakhalin Island (Main Island Only)
AS-019;9V;Singapore Island
AS-020;BV;Taiwan Island (Main Island Only)
AS-021;A6;Trucial Coast group
AS-022;R0Q;Medvezh'i (Bear) Islands
AS-023;JA6;Amami Islands
AS-024;JA6;Yaeyama Islands
AS-025;R0F;Kuril'skiye (Kuril) Islands
AS-026;HL4;Cheju-do Province (Cheju Island) group
AS-027;R0K;Vrangelya (Wrangel) Island
AS-028;R0Q;Anzhu Islands
AS-029;R0Q;Lyakhovskiye Islands
AS-030;JD;Kazan (Volcano) Islands
AS-031;JD;Chichijima/Mukojima/Hahajima Islands
AS-032;JA6;Osumi Islands
AS-033;VU;Nicobar Islands
AS-034; ;Deleted
AS-035; ;Deleted
AS-036;JA6;Iki/Tsushima Islands
AS-037;JA6;Koshikijima Islands
AS-038;R0K;East Siberian Sea Coast group
AS-039;R0Z;Komandorskiye (Commander) Islands
AS-040;JA6;Goto Islands
AS-041;JA4;Oki Islands
AS-042;R0B;Severnaya Zemlya (North Land)
AS-043;JA1;South Izu Islands
AS-044;R0C;Sea of Okhotsk Coast Centre group
AS-045;HL5;Kyongsang-bukto Province (Ullung Island)
AS-046;9M2;Pahang/Johor State East group
AS-047;JA6;Daito Islands
AS-048;R0Q;De Longa Islands
AS-049;JA6;Tokara Islands
AS-050;R0B;Sergeya Kirova Islands
AS-051;various;Spratly Islands
AS-052;7J;Okino Torishima - to be deleted in 2005
AS-053;HS;Malay Peninsula West group
AS-054;R0B;Laptev Sea Coast West group
AS-055;R0B;Vize Island
AS-056;JA6;Danjo Islands
AS-057;R0B;Uyedineniya Island
AS-058;9M2;Perlis/Kedah State group
AS-059;R0I;Sea of Okhotsk Coast group
AS-060;HL4;Cholla-namdo Province group
AS-061;R0K;Ratmanova (Big Diomede) Island
AS-062;R0F;Habomai Islands
AS-063;R0B;Laptev Sea Coast East group
AS-064;R0X;Bering Sea Coast group
AS-065;R0K;Chukchi Sea Coast East group
AS-066;R0L;Sea of Japan Coast group
AS-067;JA6;Uji & Kusagaki Islands
AS-068;R0B;Kara Sea Coast Centre group
AS-069;R0C;Iony Island
AS-070;R0Q;East Siberian Sea Coast East group
AS-071;R0K;Bering Sea Coast North group
AS-072;9M2;Perak State group
AS-073;9M2;Kelantan/Terengganu State group
AS-074;9M2;Selangor/Negeri Sembilan State group
AS-075;XX;Macau group
AS-076;JA5;Shikoku Island
AS-077;JA6;Kyushu Island (Main Island Only)
AS-078;JA8;Hokkaido Island (Main Island Only)
AS-079;JA6;Miyako Islands
AS-080;HL3;Ch'ungch'ong-namdo Province group
AS-081;HL5;Kyongsang-bukto/Kyongsang-namdo Province
AS-082;R0Q;Laptev Sea Coast Centre group
AS-083;R9K;Kara Sea Coast East group
AS-084;HL4;Cheju-do Province (Ch'uja Islands) group
AS-085;HL4;Cholla-namdo Province (Soan Islands) group
AS-086;R0B;Izvestiy TS.I.K. Islands
AS-087;R0B;Arkticheskogo Instituta Islands
AS-088;A7;Qatar group
AS-089;R9K;Kara Sea Coast West group
AS-090;HL2;Kyonggi-do Province (Tokchok Islands) grp
AS-091;R0X;Shelikhova Bay group
AS-092;R0K;Bering Sea Coast South group
AS-093;HL4;Cholla-namdo Province (Huksan Islands) grp
AS-094;BY7;Hainan Province (Hainan Island) group
AS-095;R0Z;Bering Sea Coast group
AS-096;VU;Karnataka State group
AS-097;9M2;Melaka/Johor State West group
AS-098;TA;Aydin/Mugla Province group
AS-099;TA;Canakkale/Balikesir/Izmir Province group
AS-100;4X;Israel group
AS-101;HS;Malay Peninsula East group
AS-102;BV;Kinmen (Quemoy) Island
AS-103;BV;P'enghu (Pescadores) Islands
AS-104;R0B;Kara Sea Coast East group
AS-105;HL2;Kyonggi-do Province group
AS-106;VU;Minicoy Island
AS-107;HS;Gulf of Thailand North group
AS-108;OD;Lebanon group
AS-109;R9K;Obskaya Gulf group
AS-110;BQ9;Tungsha (Pratas) Island
AS-111;HZ;The Gulf group
AS-112;A4;Al Batinah/Masqat Region group
AS-113;BV;Matsu Islands
AS-114;R0C;Sea of Okhotsk Coast South group
AS-115;TA;Antalya Province group
AS-116;BS7;Huang Yan Island (Scarborough Reef)
AS-117;JA1 etc;Honshu's Coastal Islands
AS-118;9K;Kuwait group
AS-119;A4;Musandam Region group
AS-120;5B;Cyprus's Coastal Islands
AS-121;R0B;Nordenshel'da Archipelago
AS-122;HL2;Kyonggi-do Province West group
AS-123;TA;Icel/Adana/Hatay Province group
AS-124;A61;Gulf of Oman group
AS-125;HS;Gulf of Thailand North East group
AS-126;HS;Malay Peninsula South West group
AS-127;S2;Chittagong Region group
AS-128;3W;Gulf of Thailand group
AS-129;BY7;Guangdong Province East group
AS-130;3W;South China Sea Coast South group
AS-131;BY7;Guangdong Province West group
AS-132;3W;Gulf of Tongking North group
AS-133;XU;Cambodia group
AS-134;BY3;Hebei/Tianjin Province group
AS-135;BY4;Jiangsu Province group
AS-136;BY4;Shanghai Province group
AS-137;BY5;Zhejiang Province North group
AS-138;BY5;Fujian Province group
AS-139;BY7;Guangxi Autonomous Region group
AS-140;S2;Khulna/Barisal Region group
AS-141;BY5;Zhejiang Province South group
AS-142;R0Z;Sea of Okhotsk Coast group
AS-143;BY7;Hainan Province (Xisha Islands) group
AS-144;XZ;Tenasserim Region South group
AS-145;HS;Malay Peninsula South East group
AS-146;BY4;Shandong Province North East group
AS-147;JA8;Hokkaido's Coastal Islands group
AS-148;HL4;Chollabukto Province group
AS-149;UA0;Sakhalin's Coastal Islands
AS-150;BY4;Shandong Province South group
AS-151;BY2;Liaoning Province West group
AS-152;UA0;Laptev Sea Coast West group
AS-153;VU;West Bengal State group
AS-154;TA;Black Sea Coast East group (Turkey)
AS-155;BV9;Taiwans Coastal Islands
AS-156;R0B;Ushakova Island (Russian Federation)
AS-157;3W;South China Sea Coast Centre group (Vietnam)
AS-158;BY2;Liaoning Province East group (China)
AS-159;TA;Black Sea Coast West group (Turkey)
AS-160;BY4;Shandong Province North West group (China)
AS-161;VU;Kerala State group (India)
AS-162;3W;South China Sea Coast North group (Vietnam)
AS-163;R0Q;Laptev Sea Coast East Group
AS-164;RAQ;East Siberian Sea Coast West group (Russian Federation)
AS-165;XZ;Arakan Region group (Myanmar)
AS-166;EP;Hormozgan Province Group (Iran)
NA-001;C6;Great Bahama Bank group
NA-002;VP5;Caicos Islands
NA-003;VP5;Turks Islands
NA-004;KL;North Slope County Centre group
NA-005;VP9;Bermuda Islands
NA-006;VE8,VY0;Nunavut (Victoria Island) group
NA-007;VY0;Nunavut (Southampton Island) group
NA-008;VY0;Nunavut (Ellesmere Island) group
NA-009;VE8,VY0;Nunavut (Parry Islands) group
NA-010;VE1;NS Province (Cape Breton Island) group
NA-011;FO;Clipperton Island
NA-012;TI9;Coco's Island
NA-013;YN;Caribbean Sea Coast Centre group
NA-014;VE9;NB Province South group
NA-015;CO,KG4;Cuba (Main Island Only)
NA-016;ZF;Cayman Islands
NA-017;XE2;Baja California State South West group
NA-018;OX;Greenland (Main Island Only)
NA-019;KL;Kodiak group
NA-020;YV0;Aves Island
NA-021;8P;Barbados
NA-022;VP2E;Anguilla
NA-023;VP2V;British Virgin Islands
NA-024;J3;Grenada
NA-025;J8;The Grenadines
NA-026;W2;NY State group
NA-027;VO1;Newfoundland Island (Main Island Only)
NA-028;KL;Pribilof Islands
NA-029;VY2;Prince Edward Island
NA-030;XE4;Revilla Gigedo Islands
NA-031;W1;RI State group
NA-032;FP;St Pierre & Miquelon
NA-033;HK0;San Andres Island
NA-034;W4;FL State Centre West group
NA-035;HR;Santanilla (Swan) Islands
NA-036;VE7;BC Province (Vancouver Island) group
NA-037;KL;Near Islands (Semichi Islands) group
NA-038;VE2;QC Province (La Madeleine Islands) group
NA-039;KL;Andreanof Islands
NA-040;KL;St Lawrence Island
NA-041;KL;Alexander Archipelago
NA-042;KL;Valdez Cordova County West group
NA-043;VY0;Nunavut (Sverdrup Islands) group
NA-044;VO2;NFLD Province (Labrador) South group
NA-045;XE3;Quintana Roo State North group
NA-046;W1;MA State South group
NA-047;VY0;Nunavut (Baffin Island) grp (Main Island)
NA-048;C6;Bimini Islands
NA-049;HK0;Providencia Island
NA-050;KL;North Slope County East group
NA-051;VE7;BC Province (Queen Charlotte Islands) grp
NA-052;W4;FL State South West (Collier/Monroe) grp
NA-053;KL;Trinity Islands
NA-054;C6;Berry Islands
NA-055;W1;ME State East group
NA-056;CO4;La Juventud Island group
NA-057;HR;Bahia Islands
NA-058;W4;GA State group
NA-059;KL;Fox Islands
NA-060;HR;Valle/Choluteca Department group
NA-061;VE7;BC Province North group
NA-062;W4;FL State (Florida Keys) group
NA-063;CY0;Sable Island
NA-064;KL;Near Islands (Agattu & Attu) group
NA-065;W7;WA State North group
NA-066;W6;CA State South (Orange/San Diego) group
NA-067;W4;NC State East group
NA-068;VE9;NB Province North group
NA-069;W4;FL State South West (Charlotte/Lee) group
NA-070;KL;Rat Islands
NA-071;HP;Chiriqui/Veraguas South Province group
NA-072;HP;Panama/Darien Province group
NA-073;V3;Corozal/Belize District group
NA-074;KL;Nunivak Island
NA-075;VE;BC Province (Gulf Islands) group
NA-076;W4;FL State North West (Jefferson etc) group
NA-077;VE2;QC Province (Anticosti Island) group
NA-078;XE2;Baja California Sur State South West group
NA-079;W4;FL State (Dry Tortugas Islands) group
NA-080;C6;Little Bahama Bank group
NA-081;VE1;NS Province East group
NA-082;W5;MS State group
NA-083;W4;VA State group
NA-084;VE2;QC Province (St Lawrence Gulf) East group
NA-085;W4;FL State North West (Bay to Wakulla) group
NA-086;CO7;Ciego De Avila/Camaguey Province North grp
NA-087;KL;Shumagin Islands
NA-088;HP;Bocas Del Toro Province group
NA-089;W5;LA State East group
NA-090;XE3;Quintana Roo State Centre group
NA-091;VE7;BC Province South group
NA-092;W5;TX State West group
NA-093;CO1-3;Pinar Del Rio/La Habana Province group
NA-094;CY9;St Paul Island
NA-095;KP5;Desecheo Island
NA-096;HH,HI;Hispaniola (Main Island Only)
NA-097;6Y;Jamaica
NA-098;KP1;Navassa Island
NA-099;KP3,4;Puerto Rico
NA-100;V2;Antigua & Barbuda
NA-101;J7;Dominica
NA-102;FG;Guadeloupe
NA-103;VP2M;Montserrat
NA-104;V4;St Kitts & Nevis
NA-105;FS,PJ7,8;St Martin (Sint Maarten)
NA-106;KP2;Virgin Islands
NA-107;FM;Martinique
NA-108;J6;St Lucia
NA-109;J8;St Vincent
NA-110;W4;SC State group
NA-111;W2;NJ State group
NA-112;W4;NC State West group
NA-113;C6;South Bahamas group
NA-114;FG;Les Saintes Islands
NA-115;XE4;Clarion Island
NA-116;TI8;Puntarenas Province West group
NA-117;TI8;Puntarenas Province East group
NA-118;VE7;BC Province (Dundas Islands) group
NA-119;W5;LA State Centre group
NA-120;W5;LA State West group
NA-121;KL;Dillingham/Bristol Bay County group
NA-122;HI;Dominican Republic's Coastal Islands
NA-123;V3;Turneffe Islands
NA-124;XE2;Baja California Sur State South East group
NA-125;VE2;QC Province (St Lawrence Gulf) West group
NA-126;VE1;NS Province South group
NA-127;VE1;NS Province West group
NA-128;VE2;QC Province (St Lawrence Waterway) group
NA-129;VY0;Nunavut (Banks Island) group
NA-130;VY0;Nunavut (Baffin's Coastal Islands) East gr
NA-131;VY0;Nunavut (Kitikmeot Region) East Centre grp
NA-132;HK0;Bajo Nuevo & Serranilla Bank Cays
NA-133;HK0;Serrana Bank & Roncador Cays
NA-134;OX;Greenland's Coastal Islands North West
NA-135;XE3;Campeche State group
NA-136;W1;CT State group
NA-137;W1;ME State West group
NA-138;W4;FL State North East group
NA-139;W3;MD State East group
NA-140;W3;MD State West group
NA-141;W4;FL State South East group
NA-142;W4;FL State North West (Escambia etc) group
NA-143;W5;TX State East group
NA-144;W6;CA State South (Santa Barbara to LA) group
NA-145;PJ5,6,8;Saba & Sint Eustatius
NA-146;FJ;St-Barthelemy Island
NA-147;J3;The Grenadines
NA-148;W1;MA State North group
NA-149;HH;Haiti's Coastal Islands
NA-150;KL;Little Diomede Island
NA-151;OX;Greenland's Coastal Islands South East
NA-152;KL;Nome County North group
NA-153;XE3;Yucatan State group
NA-154;VE1;NS Province North group
NA-155;TI6;Limon Province group
NA-156;VY0;Nunavut (Hudson Bay - QC Coast) North West
NA-157;KL;Valdez Cordova County East group
NA-158;KL;Kenai - Cook Inlet group
NA-159;VY0;Nunavut (King George Islands) group
NA-160;HR;Cortes/Atlantida/Colon Department group
NA-161;KL;Skagway-Yakutat County group
NA-162;XE2;Baja California State North West group
NA-163;XE2;Baja California State East group
NA-164;XE2;Baja California Sur State North West group
NA-165;XE2;Baja California Sur State North East group
NA-166;XE2;Sonora State South group
NA-167;XE2;Sonora State North group
NA-168;W5;LA State South East group
NA-169;W7;WA State West group
NA-170;HP;San Blas Province group
NA-171;XE2;Sinaloa State group
NA-172;KL;North Slope County North group
NA-173;VY0;Nunavut (Hudson Bay - QC Coast) South grp
NA-174;VY0;Nunavut (Foxe Basin) group
NA-175;VY0;Nunavut (Kitikmeot Region) West Centre grp
NA-176;VE2;QC Province (St Lawrence Gulf) Centre grp
NA-177;VE2;QC Province (Gaspe Peninsula) group
NA-178;W6;CA State Centre (Sonoma to Santa Cruz) grp
NA-179;XE2;Guadalupe Island
NA-180;V3;Stann Creek/Toledo District group
NA-181;VE7;BC Province (Estevan Group)
NA-182;VE8;NWT (Inuvik Region) East group
NA-183;XE3;Guerrero State group
NA-184;W6;CA State North group
NA-185;VY0;Nunavut (Keewatin Region) group
NA-186;VY0;Nunavut (Hudson Bay - Manitoba Coast) grp
NA-187;W6;CA State Centre (Monterey etc) group
NA-188;XE3;Oaxaca State group
NA-189;XE1;Nayarit/Jalisco State group
NA-190;YS;El Salvador group
NA-191;TI7;Guanacaste Province group
NA-192;VE8;NWT (Inuvik Region) West group
NA-193;VY1;Yukon Territory group
NA-194;VO2;NFLD Province (Labrador) North group
NA-195;VY0;Nunavut (Hudson Bay - QC Coast) Centre grp
NA-196;VY0;Nunavut (Belcher Islands) group
NA-197;KL;Kenai Peninsula County group
NA-198;VO1;Newfoundland's Coastal Islands
NA-199;FS;St Martin's Coastal Islands
NA-200;XE3;Quintana Roo State South group
NA-201;CO7;Ciego De Avila/Camaguey Province South grp
NA-202;HP;Colon/Veraguas North Province group
NA-203;HP;Los Santos/Herrera/Cocle Province group
NA-204;CO5,6;Matanzas to Sancti Spiritus Province group
NA-205;VO2;NFLD Province (Labrador) Centre group
NA-206;KL;Barren Islands
